date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:59:21	77/77	---MCZ	200	added ('OK')	text/plain	etag:W/%223d-18fa19620da%22	https://lode88.ai/robots.txt		(from )
17:59:21	37532/37532	---MCZ	200	added ('OK')	text/html	date:Fri,%2024%20May%202024%2010:59:21%20GMT	https://lode88.ai/	C:/My%20Web%20Sites/lode88/lode88.ai/index.html	(from )
17:59:22	1350/1350	---M--	200	added ('OK')	image/png	etag:%22664e3ae9-546%22	https://l1.lode88.ai/static/assets/img/favicon.png	C:/My%20Web%20Sites/lode88/l1.lode88.ai/static/assets/img/favicon.png	(from https://lode88.ai/)
17:59:22	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:22%20GMT	https://lode88.ai/splashscreens/iphone5_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphone5_splash.png	(from https://lode88.ai/)
17:59:22	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:23%20GMT	https://lode88.ai/splashscreens/iphone6_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphone6_splash.png	(from https://lode88.ai/)
17:59:23	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:23%20GMT	https://lode88.ai/splashscreens/iphoneplus_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphoneplus_splash.png	(from https://lode88.ai/)
17:59:23	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:23%20GMT	https://lode88.ai/splashscreens/iphonex_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphonex_splash.png	(from https://lode88.ai/)
17:59:23	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:23%20GMT	https://lode88.ai/splashscreens/iphonexr_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphonexr_splash.png	(from https://lode88.ai/)
17:59:23	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:23%20GMT	https://lode88.ai/splashscreens/iphonexsmax_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/iphonexsmax_splash.png	(from https://lode88.ai/)
17:59:24	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:24%20GMT	https://lode88.ai/splashscreens/ipad_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/ipad_splash.png	(from https://lode88.ai/)
17:59:24	43/43	---MC-	404	error ('Not%20Found')	image/gif	date:Fri,%2024%20May%202024%2010:59:24%20GMT	https://lode88.ai/splashscreens/ipadpro1_splash.png	C:/My%20Web%20Sites/lode88/lode88.ai/splashscreens/ipadpro1_splash.png	(from https://lode88.ai/)
